title,date,summary,topic,source
5 ‘important’ photos you must have on your phone,"Sat, 09 Oct 2021 16:44:26 IST","","",https://www.gadgetsnow.com/featured/5-important-photos-that-you-must-have-on-your-smartphone/articleshow/86891348.cms
Tata takeover: What's making Air India employees 'nervous',"Sat, 09 Oct 2021 04:49:08 IST","","",https://timesofindia.indiatimes.com/business/india-business/nervous-employees-are-on-a-wing-and-a-prayer/articleshow/86879819.cms
Microsoft faces ‘Teams trouble’ in EU,"Sat, 09 Oct 2021 13:46:22 IST","","",https://www.gadgetsnow.com/tech-news/eu-questions-microsoft-rivals-over-teams-integration-in-office/articleshow/86884784.cms
#ETimesCelebTracker: Today's 20 best celeb moments,"Sat, 09 Oct 2021 21:30:50 IST","","",https://photogallery.indiatimes.com/etimescelebtracker-from-shilpa-shetty-to-sophie-turnerhere-are-todays-20-best-celeb-moments/articleshow/86888672.cms
"India-China talks on Sunday, further disengagement within sight","Sat, 09 Oct 2021 21:57:16 IST","","",https://timesofindia.indiatimes.com/india/india-china-talks-on-sunday-further-disengagement-within-sight/articleshow/86895994.cms
Adhir Ranjan calls out politics behind Aryan Khan's arrest,"Sat, 09 Oct 2021 20:02:51 IST","Congress leader Adhir Ranjan Chowdhury on Saturday took to his Twitter handle to call out the politics behind the arrest of Shah Rukh Khan's son, Aryan Khan.","",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/rhea-chakraborty-languished-in-jail-now-it-is-aryan-khan-congress-leader-adhir-ranjan-chowdhury-calls-out-politics-behind-shah-rukh-khans-sons-arrest/articleshow/86894653.cms
Live: Aryan Khan files bail application in Mumbai sessions court,"Sat, 09 Oct 2021 08:29:37 IST","In a major setback for megastar Shah Rukh Khan's son Aryan Khan, a Mumbai court on Friday rejected his bail plea, and of two others who were among the 8 arrested accused in the raid on an alleged rave party on a luxury cruise ship.","",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/shah-rukh-khan-aryan-khan-srk-ncb-samantha-ruth-prabhu-sameer-wankhede-narcotics-control-bureau/liveblog/86883869.cms
Loss against RCB chance for players to reflect: Ponting,"Sat, 09 Oct 2021 18:41:33 IST","Having suffered a dramatic seven-wicket loss against Royal Challengers Bangalore (RCB) in their last league stage match, Delhi Capitals will look to bounce back with a win to make a direct entry into the final of IPL 2021 when they take on CSK in Qualifier 1 on Sunday.","",https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/ipl-2021-qualifier-1-dc-vs-csk-playoffs-completely-different-our-tournament-starts-now-says-ricky-ponting/articleshow/86893245.cms
Did Elon Musk Invent Google Before Google Did? Video Suggests That He Could Have,2021-10-02 11:10:19,"Elon Musk has become one of the best-known innovators in the world. He is known as the driving force behind PayPal, SpaceX and Tesla Motors. But in the mid-90s, Musk was thinking about how we use the web. Incidentally, his first four patents centered on ideas that are now integral to the way we search and communicate online.  CEO Magazine While Larry Page and Sergey Brin introduced us to Google search, in 1998, Elon Musk had ideated about creating a search engine long before its eventual incepti",news,indiatimes.com
Elon Musk: The THREE questions investors should ask as Tesla CEO prompts SHIB surge,2021-10-08 23:09:15,"Elon Musk, the billionaire CEO of electric car manufacturers Tesla, has caused ripples through the cryptocurrency market again. On Monday, he posted a picture of his new Shiba Inu puppy, Floki Funkpuppy, boosting the token of the same name and inspiring a new addition that has already started flying. His inspiration has helped many novice investors try their hand at cryptocurrencies, but also led experts to ask questions.Mr Musk's ongoing influence underlines the inherent volatility behind altco",finance,express.co.uk
"Elon Musk Posts Puppy Floki In A Tesla, SHIB Coin Surges 30%",2021-10-04 17:37:35,"A Twitter post of Elon Musk's Shiba Inu dog has caused the cryptocurrency of the same name to soar 30% on Monday.On Sunday night, Musk posted the picture of his pup Floki in the front trunk of a Tesla, causing not only the Shiba Inu coin to jump but also Dogecoin to spike a short-lived 7.5 centsFloki Frunkpuppy pic.twitter.com/xAr8T0Jfdf— Elon Musk (@elonmusk) October 4, 2021 Musk brought home Floki on Sept. 12 in a Twitter post after declaring in June that he was getting a Shiba Inu dog, the ma",news,ibtimes.com
"Cryptocurrency named after Elon Musk's dog surges 2,400 percent",2021-10-06 15:28:33,"Fans of Elon Musk made a cryptocurrency named after his dog — and it's up 2,400 percent. 



Flokinomics, a dogecoin knockoff that started trading on Sunday, was going for $0.000002254 early Wednesday, according to CoinMarketCap data. While that might not sound like a lot, it's a 2,400 percent increase in value over the previous 24 hours.



'WE $FLOKIN DID IT,' declared a Twitter account for the cryptocurrency. 



Flokinomics is named after Elon Musk's dog, Floki. 



Floki is a Shiba Inu — th",news,nypost.com
‘Starting a fire’: US and China enter dangerous territory over Taiwan,"Sat, 09 Oct 2021 21:57:56 IST","","",https://timesofindia.indiatimes.com/world/china/starting-a-fire-us-and-china-enter-dangerous-territory-over-taiwan/articleshow/86895853.cms
"Why Delhi, other states are staring at power crisis","Wed, 06 Oct 2021 18:41:24 IST","","",https://timesofindia.indiatimes.com/business/india-business/explained-why-india-stares-at-possible-power-crunch/articleshow/86811741.cms
Phone-tapping case: Mumbai police summon CBI chief,"Sat, 09 Oct 2021 20:31:46 IST","","",https://timesofindia.indiatimes.com/india/phone-tapping-case-mumbai-police-summon-cbi-director-subodh-jaiswal/articleshow/86895033.cms
UP violence: Union minister's son questioned for 9 hours,"Sat, 09 Oct 2021 21:09:34 IST","Union minister Ajay Mishra Teni's son Ashish was questioned today for nearly nine hours by the UP Police SIT probing the Lakhimpur Kheri violence. Ashish has maintained that he was not present in the vehicle that mowed down farmers, or at the site of the violence. However the family has admitted ownership of a vehicle that allegedly mowed down farmers at the incident site.","",https://timesofindia.indiatimes.com/india/lakhimpur-khrri-violence-union-ministers-son-questioned-for-9-hours/articleshow/86895569.cms
Covid live: Normal timings for shops in Bengal between Oct 10-20,"Fri, 08 Oct 2021 02:17:00 IST","India logged 19,740 new Covid-19 cases and 23,070 recoveries in the last 24 hours, reports the ministry of health and family welfare on Saturday. With this, the country's active caseload now stands at 2,36,643, which is the lowest in 206 days. Stay with TOI for updates from India and around the world","",https://timesofindia.indiatimes.com/india/coronavirus-live-updates-oct-8/liveblog/86854121.cms
Selectors add net bowlers to T20 World Cup team,"Sat, 09 Oct 2021 22:10:03 IST","The Indian selectors are set to add a few more players to India’s T20 World Cup team as net bowlers. The names of the bowlers are yet to be finalised but what will be interesting to see if the selectors opt for any backup for mystery spinner Varun Chakravarthy who is suffering from dodgy knees. However, according to sources pacers Umran Malik and Harshal Patel are in the reckoning to join the team after the IPL.","",https://timesofindia.indiatimes.com/sports/cricket/icc-mens-t20-world-cup/selectors-add-net-bowlers-to-t20-world-cup-team-focus-on-varun-chakravarthys-fitness/articleshow/86896140.cms
"Amazon Sale deals of the day: Phones, laptops & more","Sat, 09 Oct 2021 21:25:40 IST","","",https://www.gadgetsnow.com/slideshows/deals-of-the-day-in-amazon-sale-samsung-phones-lenovo-laptop-xiaomi-vacuum-cleaner-and-more/photolist/86883669.cms
Anxiety and fear for women in Taliban stronghold,"Sat, 09 Oct 2021 20:42:11 IST","","",https://timesofindia.indiatimes.com/world/south-asia/anxiety-and-fear-for-women-in-taliban-stronghold/articleshow/86895216.cms
5 ‘important’ photos you must have on your phone,"Sat, 09 Oct 2021 16:44:26 IST","","",https://www.gadgetsnow.com/featured/5-important-photos-that-you-must-have-on-your-smartphone/articleshow/86891348.cms
Farmers plan series of protests over Lakhimpur violence,"Sat, 09 Oct 2021 14:47:41 IST","The farmer leaders on Saturday pressed for the arrest of Union minister Ajay Mishra Teni and his son Ashish Mishra over their alleged involvement in the Lakhimpur Kheri violence on October 3. The Samyukta Kisan Morcha (SKM), an umbrella body of farmer unions, said it will launch a series of protests across India if their demands are not met.","",https://timesofindia.indiatimes.com/india/arrest-mos-mishra-son-or-farmers-plan-series-of-protest-over-lakhimpur-violence/articleshow/86889573.cms
Microsoft faces ‘Teams trouble’ in EU,"Sat, 09 Oct 2021 13:46:22 IST","","",https://www.gadgetsnow.com/tech-news/eu-questions-microsoft-rivals-over-teams-integration-in-office/articleshow/86884784.cms
Tata takeover: What's making Air India employees 'nervous',"Sat, 09 Oct 2021 04:49:08 IST","","",https://timesofindia.indiatimes.com/business/india-business/nervous-employees-are-on-a-wing-and-a-prayer/articleshow/86879819.cms
#ETimesCelebTracker: Today's 20 best celeb moments,"Sat, 09 Oct 2021 21:30:50 IST","","",https://photogallery.indiatimes.com/etimescelebtracker-from-shilpa-shetty-to-sophie-turnerhere-are-todays-20-best-celeb-moments/articleshow/86888672.cms
"India-China talks on Sunday, further disengagement within sight","Sat, 09 Oct 2021 21:57:16 IST","","",https://timesofindia.indiatimes.com/india/india-china-talks-on-sunday-further-disengagement-within-sight/articleshow/86895994.cms
Adhir Ranjan calls out politics behind Aryan Khan's arrest,"Sat, 09 Oct 2021 20:02:51 IST","Congress leader Adhir Ranjan Chowdhury on Saturday took to his Twitter handle to call out the politics behind the arrest of Shah Rukh Khan's son, Aryan Khan.","",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/rhea-chakraborty-languished-in-jail-now-it-is-aryan-khan-congress-leader-adhir-ranjan-chowdhury-calls-out-politics-behind-shah-rukh-khans-sons-arrest/articleshow/86894653.cms
Live: Aryan Khan files bail application in Mumbai sessions court,"Sat, 09 Oct 2021 08:29:37 IST","In a major setback for megastar Shah Rukh Khan's son Aryan Khan, a Mumbai court on Friday rejected his bail plea, and of two others who were among the 8 arrested accused in the raid on an alleged rave party on a luxury cruise ship.","",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/shah-rukh-khan-aryan-khan-srk-ncb-samantha-ruth-prabhu-sameer-wankhede-narcotics-control-bureau/liveblog/86883869.cms
Loss against RCB chance for players to reflect: Ponting,"Sat, 09 Oct 2021 18:41:33 IST","Having suffered a dramatic seven-wicket loss against Royal Challengers Bangalore (RCB) in their last league stage match, Delhi Capitals will look to bounce back with a win to make a direct entry into the final of IPL 2021 when they take on CSK in Qualifier 1 on Sunday.","",https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/ipl-2021-qualifier-1-dc-vs-csk-playoffs-completely-different-our-tournament-starts-now-says-ricky-ponting/articleshow/86893245.cms
"Covid live: India resumes vaccine exports as domestic stocks build up, say officials","Tue, 12 Oct 2021 05:23:22 IST","India on Wednesday reported 15,283 Covid cases — a slight increase from Tuesday — and 226 deaths, according to the Union health ministry. Active cases have further declined to 2,07,653. Stay with TOI for latest updates","",https://timesofindia.indiatimes.com/india/coronavirus-live-updates-october-12/liveblog/86954361.cms
NCB vs Aryan's lawyer: How arguments unfolded in court,"Wed, 13 Oct 2021 15:04:33 IST","The Narcotics Control Bureau on Wednesday opposed the bail plea filed by Aryan Khan, son of Bollywood superstar Shah Rukh Khan, saying the probe so far has revealed his role in the conspiracy and illicit procurement and consumption of drugs. Aryan was arrested earlier this month in connection with the seizure of banned drugs onboard a cruise ship off the Mumbai coast.","",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/drugs-case-key-points-aryan-played-an-active-part-in-illicit-drug-chain-says-ncb/articleshow/86989565.cms
IPL Qualifier 2 Live: Kolkata restrict Delhi to 135/5,"Wed, 13 Oct 2021 14:30:55 IST","Kolkata Knight Riders skipper Eoin Morgan won the toss and decided to field first against Delhi Capitals in the Qualifier 2 of the IPL 2021 in Sharjah. The second qualifier between Kolkata Knight Riders and Delhi Capitals will be a test of nerves for the players who are supposed to carry Indian cricket forward. Stay with TOI to get IPL live score, scorecard, highlights and ball by ball score updates of IPL match between Kolkata Knight Riders and Delhi Capitals.","",https://timesofindia.indiatimes.com/sports/cricket/ipl/live-blog/kolkata-knight-riders-vs-delhi-capitals-kkr-vs-dc-live-score-ipl-2021-uae/liveblog/86989219.cms
"Former PM Manmohan Singh admitted to AIIMS, stable","Wed, 13 Oct 2021 19:18:33 IST","Former Prime Minister Manmohan Singh was on Wednesday evening admitted to All India Institute of Medical Sciences (AIIMS) in Delhi. Singh had complained of weakness following a fever, said sources. Singh had complained of weakness following a fever, said sources. AIIMS officials confirmed the same and added that the former PM's condition is stable.","",https://timesofindia.indiatimes.com/india/former-pm-manmohan-singh-admitted-to-aiims/articleshow/86994995.cms
Three more Rafale fighters touch down at Jamnagar airbase,"Wed, 13 Oct 2021 21:04:59 IST","Three more French-origin Rafale fighters touched down at the Jamnagar airbase in India, after mid-air refueling by tankers of France and UAE, on Wednesday night. The omni-role Rafales are armed with long stand-off weapons like the over 300-km range 'Scalp' air-to-ground cruise missiles. The fighters are also equipped with the top-notch Meteor air-to-air missiles.","",https://timesofindia.indiatimes.com/india/three-more-rafale-fighters-touch-down-at-jamnagar-airbase/articleshow/86996896.cms
T20 WC: Shardul replaces Axar in Team India's squad,"Wed, 13 Oct 2021 17:19:57 IST","India added pace bowler Shardul Thakur to their Twenty20 World Cup squad while all-rounder Axar Patel was dropped out of the 15-man side and into a list of stand-by players, the country's cricket board (BCCI) said in a statement on Wednesday. Inaugural T20 World Cup champions India begin their bid for a second title in a Super 12 match in Dubai against arch-rivals Pakistan on October 24.","",https://timesofindia.indiatimes.com/sports/cricket/icc-mens-t20-world-cup/t20-world-cup-shardul-thakur-replaces-axar-patel-in-team-indias-squad/articleshow/86992456.cms
Explained: Why govt did not sell Alliance Air with Air India,"Wed, 13 Oct 2021 19:26:14 IST","The government plans to sell Air India’s regional arm separately, days after Tata Sons emerged as the highest bidder for the parent carrier in an auction that didn’t include the unit, underscoring Prime Minister Narendra Modi’s attempts to steer the state away from involvement in private-sector business.","",https://timesofindia.indiatimes.com/business/india-business/govt-expedites-asset-sales-with-regional-airline-on-block/articleshow/86995233.cms
Deals of the day on Amazon: Samsung phone & more,"Wed, 13 Oct 2021 16:41:13 IST","","",https://www.gadgetsnow.com/slideshows/deals-of-the-day-in-amazon-sale-samsung-smartphone-lenovo-laptop-oneplus-smart-tv-and-more/photolist/86990362.cms
IPL Live Score: Kolkata Knight Riders vs Delhi Capitals,"Wed, 13 Oct 2021 14:25:50 IST","Check today's IPL match live score, scorecard, ball by ball commentary and highlights of match between Kolkata Knight Riders and Delhi Capitals","",https://timesofindia.indiatimes.com/sports/cricket/ipl/live-blog/kkr-vs-dc-live-ipl-score-today-match-2021-kolkata-knight-riders-vs-delhi-capitals/liveblog/86989111.cms
Live: Aryan Khan's bail plea hearing to continue tomorrow,"Wed, 13 Oct 2021 08:13:17 IST",Shah Rukh Khan and Gauri Khan’s son Aryan Khan was arrested on October 2 along with seven others after the NCB raided an alleged rave party on a cruise ship. A Mumbai court on Friday rejected Aryan’s bail plea after which he was sent to Arthur Jail. Follow us to know all the live updates!,"",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/shah-rukh-khan-aryan-khan-gauri-khan-suhana-khan-arbaaz-merchant-mumbai-cruise-drug-party/liveblog/86982825.cms
Amazon to make this 'change' in work-from-home rule,"Wed, 13 Oct 2021 15:45:33 IST","","",https://www.gadgetsnow.com/tech-news/amazon-is-making-this-change-in-work-from-home-for-employees/articleshow/86990460.cms
Why Windows 11 has strict hardware requirements,"Wed, 13 Oct 2021 09:11:08 IST","","",https://www.gadgetsnow.com/tech-news/this-is-why-windows-11-has-such-strict-hardware-requirements/articleshow/86983597.cms
"Faceoff: Rajnath hails Veer Savarkar, divides Twitter","Wed, 13 Oct 2021 18:59:05 IST","Hailing Veer Savarkar as a staunch nationalist and India's first military strategist in the 20th century, Defence Minister Rajnath Singh on Tuesday said it was on Mahatma Gandhi's request that he wrote mercy petitions to the British and people from the Marxist and Leninist ideology wrongly accuse him of being a fascist.","",https://timesofindia.indiatimes.com/india/faceoff-rajnath-hails-veer-savarkar-divides-twitter/articleshow/86994482.cms
India strongly rejects China's objection to Naidu's Arunachal visit,"Wed, 13 Oct 2021 16:45:32 IST","","",https://timesofindia.indiatimes.com/india/india-strongly-rejects-chinas-objection-to-vice-president-naidus-arunachal-visit/articleshow/86990912.cms
'Amazon copied products to promote own brands',"Wed, 13 Oct 2021 18:40:37 IST",Amazon has been repeatedly accused of knocking off products it sells on its website and of exploiting its vast trove of internal data to promote its own merchandise at the expense of other sellers. The company has denied the accusations.,"",https://timesofindia.indiatimes.com/business/international-business/amazon-copied-products-rigged-search-results-to-promote-its-own-brands-report/articleshow/86994486.cms
"They have learnt a lesson, suffered enough: Aryan's lawyer","Wed, 13 Oct 2021 18:57:30 IST","Aryan Khan's bail hearing has been adjourned for tomorrow by the Mumbai court. During the hearing today in the special court, the lawyer representing Aryan Khan argued that the star kid was not involved in any sale or purchase of any illegal substances.","",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/aryan-khans-lawyer-amit-desai-they-have-learnt-lesson-they-have-suffered-enough/articleshow/86994711.cms
Lakhimpur violence case live: Ashish Mishra denied bail,"Tue, 12 Oct 2021 07:30:53 IST","Earlier in the day, a delegation of Congress leaders, including former party president Rahul Gandhi, met President Ram Nath Kovind on Wednesday and presented a memorandum of facts on the Lakhimpur Kheri violence case. Police have so far arrested four people in connection with the case -- Ashish Mishra, Luvkush, Ashish Pandey and Bharti. Stay with TOI for all the latest updates:","",https://timesofindia.indiatimes.com/city/lucknow/lakhimpur-kheri-violence-ashish-mishra-live-updates/liveblog/86955370.cms
"Live: No need to speak to me through media, have honest discussion, says Sonia","Sat, 16 Oct 2021 07:55:59 IST",Stay here for real-time updates on breaking news from India and across the world that you can't miss:,"",https://timesofindia.indiatimes.com/india/breaking-news-live-updates-october-16/liveblog/87054213.cms
"I am full-time Cong president, says Sonia: Key points","Sat, 16 Oct 2021 11:04:26 IST","Congress interim President Sonia Gandhi on Saturday morning chaired the Congress Working Committee (CWC) meeting to hold a discussion on key issues such as organisational elections, forthcoming assembly polls and the current political situation at the first physical meeting of the party's working committee since the Covid outbreak.","",https://timesofindia.indiatimes.com/india/congress-working-committee-meets-to-discuss-organizational-polls-political-situation-key-points/articleshow/87056744.cms
Rahul Dravid appointed head coach till 2023,"Sat, 16 Oct 2021 12:06:11 IST","In one of the biggest developments in Indian cricket, Rahul Dravid has agreed to become the coach of the Indian senior team on Friday during the IPL final. The development happened in Dubai when BCCI president Sourav Ganguly and secretary Jay Shah held a meeting with Dravid and persuaded him to become the coach of the Indian team after the T20 World Cup in UAE.","",https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/rahul-dravid-appointed-head-coach-paras-mhambrey-bowling-coach-till-2023/articleshow/87051670.cms
"We are like RSS, Uddhav Thackeray says","Sat, 16 Oct 2021 04:40:00 IST","Demanding an end to “interference” by the Central government in day-to-day functioning, chief minister Uddhav Thackeray has called for an open debate on the federal structure to sharply define Centre-state ties within the broad framework of the Constitution.","",https://timesofindia.indiatimes.com/city/mumbai/mumbai-uddhav-flaunts-his-hindutva-colours-says-we-are-like-rss/articleshow/87049950.cms
6 CRPF jawans injured in accidental blast at Raipur rly stn,"Sat, 16 Oct 2021 10:41:07 IST","The incident took place around 6.30 am when jawans were shifting boxes of detonators set, fell on the floor.","",https://timesofindia.indiatimes.com/city/raipur/six-crpf-jawans-injured-in-accidental-blast-at-raipur-railway-station/articleshow/87056438.cms
Singhu border killing: Victim father of three girls,"Sat, 16 Oct 2021 04:57:00 IST","Lakhbir Singh, whose body was found at the site where the farmers are protesting at Singhu border on Friday, was the father of three daughters and had a troubled married life.","",https://timesofindia.indiatimes.com/city/delhi/victim-father-of-three-girls-relatives-seek-financial-help/articleshow/87050505.cms
"Amazon sale: Smartwatches available under Rs 10,000","Sat, 16 Oct 2021 10:36:11 IST","","",https://www.gadgetsnow.com/slideshows/amazon-sale-smartwatches-from-realme-xiaomi-noise-and-other-brands-available-under-rs-10000/photolist/87055320.cms
Drug case live: 'NCB interested to catch celebrity',"Fri, 15 Oct 2021 08:15:13 IST",Shah Rukh and Gauri Khan’s son Aryan was arrested on October 3 with 7 others after the NCB raided an alleged rave party on a cruise. The star son is currently lodged at Arthur Road Jail and his bail order will be pronounced on October 20.,"",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/shah-rukh-khan-gauri-khan-aryan-khan-drugs-sameer-wankhede-dussehra-bollywood/liveblog/87034694.cms
Live: Active Covid cases in India lowest in 218 days,"Fri, 15 Oct 2021 05:26:22 IST","India has reported 15,981 new Covid-19 cases and 166 deaths in 24 hours, a Union health ministry bulletin stated on Saturday. ​India currently has 2,01,632 active cases, ​the lowest in 218 days. Recovery rate in the country currently stands at 98.08%, the highest since March 2020.","",https://timesofindia.indiatimes.com/india/coronavirus-live-updates-october-15/liveblog/87033415.cms
Apple sacks the leader of the #AppleToo movement,"Sat, 16 Oct 2021 09:23:24 IST","","",https://www.gadgetsnow.com/tech-news/apple-sacks-the-leader-of-the-appletoo-movement-for-deleting-these-apps/articleshow/87055277.cms
AIIMS doc alleges rape by senior at birthday party,"Sat, 16 Oct 2021 04:32:00 IST",A junior resident doctor of All India Institute of Medical Sciences (AIIMS) has alleged sexual assault by a senior resident doctor. Senior police officers said the incident allegedly took place in September during a birthday party outside the campus. The suspect is absconding.,"",https://timesofindia.indiatimes.com/city/delhi/aiims-doctor-alleges-rape-by-senior-at-birthday-party/articleshow/87049698.cms
' We got Fardeen Khan bail within three days',"Sat, 16 Oct 2021 10:58:09 IST","Advocate Ayaz Khan who has handled Fardeen Khan and Bharti Singh’s cases against the Narcotics Control Bureau (NCB) speaks to ETimes about Aryan Khan’s case. He reveals how he handled things differently with Fardeen and Bharti and how his strategy resulted in both parties getting bail within a few days. Drawing parallels between Aryan Khan’s case and the ones he’s handled in the past, Ayaz tells us how things could have been handled differently in Aryan’s case. Excerpts:","",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/lawyer-ayaz-khan-on-aryan-khans-case-we-got-fardeen-khan-bail-within-three-days-thanks-to-our-strategy/articleshow/87056668.cms
How to transfer money via UPI with no internet,"Sat, 16 Oct 2021 09:49:54 IST","","",https://www.gadgetsnow.com/how-to/how-to-transfer-money-through-upi-when-your-internet-is-not-working/articleshow/86832882.cms
Sasikala signals her return to politics,"Sat, 16 Oct 2021 11:45:07 IST","","",https://timesofindia.indiatimes.com/city/chennai/sasikala-visits-jayalalithaa-memorial-signals-her-comeback-to-active-politics/articleshow/87057332.cms
45 dogs dead: Activist files complaint against IIT-M,"Sat, 16 Oct 2021 09:00:10 IST","At least 45 dogs that had been kept confined by the IIT Madras management in some ‘enclosures’ have died. Following the deaths, a police complaint was lodged against IIT-M registrar Jane Prasad and others by animal activist Harish of Bangalore on Friday.","",https://timesofindia.indiatimes.com/city/chennai/45-dogs-dead-activist-files-complaint-against-iit-madras/articleshow/87055000.cms
B'luru doc cycles around K'taka in 119 hours,"Sat, 16 Oct 2021 00:16:32 IST",Heavy rain at the 6am flag-off at Vidhana Soudha on October 8 indicated to ultra-cyclist Dr Srinivas Gokulnath what was in store during the Race Across Karnataka (RAKA) that he was embarking on. But by the time he returned to Vidhana Soudha at 5.,"",https://timesofindia.indiatimes.com/city/bengaluru/bluru-doc-cycles-across-karnataka-in-119-hours/articleshow/87049132.cms
IPL 2021: Dhoni's CSK beat KKR to lift 4th IPL title,"Sat, 16 Oct 2021 08:36:34 IST","The ‘daddies’ justified the captain’s theory time and again over the next four years and Dubai on Friday, became their platform to sign off with a bang. Probably playing together for the last time together before a new auction next season, the super seniors of CSK played a match straight out of the dreams to beat Kolkata Knight Riders and give the skipper his fourth IPL title.","",https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/ipl-2021-ms-dhonis-chennai-super-kings-knock-off-kolkata-knight-riders-to-lift-fourth-ipl-title/articleshow/87054738.cms
Congress likely to get new party president in September 2022; Sonia Gandhi to hold post till then,2021-10-16T07:13:00+00:00,Sonia Gandhi was appointed party's interim president in 2019 after Rahul Gandhi had relinquished the post following the defeat in the Lok Sabha polls that year.,business,The Financial Express
"Johnson & Johnson puts talc liabilities into bankruptcy, offloads debts into newly-created arm",2021-10-16T07:03:11+00:00,"Johnson & Johnson on Thursday put into bankruptcy tens of thousands of legal claims alleging its Baby Powder and other talc-based products caused cancer, offloading the potential liabilities into a newly-created subsidiary.",business,Zee Business
Rs 1 crore Guaranteed Income Life Insurance Plan: How much premium you need to pay,2021-10-16T07:02:25+00:00,"Guaranteed Income Plan in Life Insurance: The premium to be paid in a term plan is less. However, as the savings component is involved, you need to pay a very high premium in a guaranteed income plan",business,The Financial Express
